"ISO3","Country","Nationalities","Language"
"AFG","Afghanistan","Afghan","Persian - Pashto"
"ALB","Albania","Albanian","Albanian"
"DZA","Algeria","Algerian","Arabic"
"ARG","Argentina","Argentine, Argentinian","Spanish"
"AUS","Australia","Australian","English"
"AUT","Austria","Austrian","German"
"BGD","Bangladesh","Bangladeshi, Bengali","Bengali"
"BEL","Belgium","Belgian","French; Flemish"
"BOL","Bolivia","Bolivian","Spanish"
"BWA","Botswana","Batswana, Motswana, Botswanan","English; Setswana"
"BRA","Brazil","Brazilian","Portuguese"
"BGR","Bulgaria","Bulgarian","Bulgarian"
"KHM","Cambodia","Cambodian","Cambodian"
"CMR","Cameroon","Cameroonian","French; English"
"CAN","Canada","Canadian","English; French"
"CHL","Chile","Chilean","Spanish"
"CHN","China","Chinese","Chinese"
"COL","Colombia","Colombian","Spanish"
"CRI","Costa Rica","Costa Rican","Spanish"
"HRV","Croatia","Croatian","Croatian"
"CUB","Cuba","Cuban","Spanish"
"CZE","Czech Republic","Czech","Czech"
"DNK","Denmark","Danish","Danish"
"DOM","Dominican Republic","Dominican","Spanish"
"ECU","Ecuador","Ecuadorian","Spanish"
"EGY","Egypt","Egyptian","Arabic"
"SLV","El Salvador","Salvadorian, Salvadoran","Spanish"
NA,"England","English","English"
"EST","Estonia","Estonian","Estonian"
"ETH","Ethiopia","Ethiopian","Amharic"
"FJI","Fiji","Fijian","English; Fijian"
"FIN","Finland","Finnish","Finnish"
"FRA","France","French","French"
"DEU","Germany","German","German"
"GHA","Ghana","Ghanaian","English"
"GRC","Greece","Greek, Hellenic","Greek"
"GTM","Guatemala","Guatemalan","Spanish"
"HTI","Haiti","Haitian","French; Creole"
"HND","Honduras","Honduran","Spanish"
"HUN","Hungary","Hungarian, Magyar","Hungarian"
"ISL","Iceland","Icelandic","Icelandic"
"IND","India","Indian","Hindi; English"
"IDN","Indonesia","Indonesian","Indonesian"
"IRN","Iran","Iranian, Persian","Persian"
"IRQ","Iraq","Iraqi","Arabic; Kurdish"
"IRL","Ireland","Irish","Irish; English"
"ISR","Israel","Israeli","Hebrew"
"ITA","Italy","Italian","Italian"
"JAM","Jamaica","Jamaican","English"
"JPN","Japan","Japanese","Japanese"
"JOR","Jordan","Jordanian","Arabic"
"KEN","Kenya","Kenyan","Swahili"
"KWT","Kuwait","Kuwaiti","Arabiv"
"LAO","Laos","Lao, Laotian","Laotian"
"LVA","Latvia","Latvian, Lettish","Latvian"
"LBN","Lebanon","Lebanese","Arabic"
"LBY","Libya","Libyan","Arabic"
"LTU","Lithuania","Lithuanian","Lithuanian"
"MYS","Malaysia","Malaysian","Malay; Malaysian"
"MLI","Mali","Malian, Malinese","French"
"MLT","Malta","Maltese","English; Maltese"
"MEX","Mexico","Mexican","Spanish"
"MNG","Mongolia","Mongolian","Mongolian"
"MAR","Morocco","Moroccan","Arabic; French"
"MOZ","Mozambique","Mozambican","Portuguese"
"NAM","Namibia","Namibian","English"
"NPL","Nepal","Nepalese, Nepali","Nepali; English"
"NLD","Netherlands","Dutch, Netherlandic","Dutch"
"NZL","New Zealand","New Zealand, NZ, Zelanian","English; Maori"
"NIC","Nicaragua","Nicaraguan","Spanish"
"NGA","Nigeria","Nigerian","English"
"NOR","Norway","Norwegian","Norwegian"
"PAK","Pakistan","Pakistani","Urdu; English"
"PAN","Panama","Panamanian","Spanish"
"PRY","Paraguay","Paraguayan","Spanish"
"PER","Peru","Peruvian","Spanish"
"PHL","Philippines","Philippine, Filipino","Tagalog; Filipino"
"POL","Poland","Polish","Polish"
"PRT","Portugal","Portuguese","Portuguese"
"ROU","Romania","Romanian","Romanian"
"RUS","Russia","Russian","Russian"
"SAU","Saudi Arabia","Saudi, Saudi Arabian","Arabic"
NA,"Scotland","Scottish","English"
"SEN","Senegal","Senegalese","French"
"SRB","Serbia","Serbian","Serbian"
"SGP","Singapore","Singaporean, Singapore","English; Malay; Mandarin; Tamil"
"SVK","Slovakia","Slovak","Slovak"
"ZAF","South Africa","South African","Afrikaans; English; + 9 more"
"KOR","South Korea","Korean, South Korean","Korean"
"ESP","Spain","Spanish","Spanish"
"LKA","Sri Lanka","Sri Lankan","Sinhala; Tamil"
"SDN","Sudan","Sudanese","Arabic; English"
"SWE","Sweden","Swedish","Swedish"
"CHE","Switzerland","Swiss","German; French; Italian; Romansh"
"SYR","Syria","Syrian","Arabic"
"TWN","Taiwan","Taiwanese","Chinese"
"TJK","Tajikistan","Tajikistani","Tajik (Persian)"
"THA","Thailand","Thai","Thai"
"TON","Tonga","Tongan","English; Tongan"
"TUN","Tunisia","Tunisian","Arabic"
"TUR","Turkey","Turkish","Turkish"
"UKR","Ukraine","Ukrainian","Ukrainian"
"ARE","United Arab Emirates","Emirati, Emirian, Emiri","Arabic"
"GBR","United Kingdom","British, English, UK","English"
"USA","United States","American, North American, United States, U.S.","English"
"URY","Uruguay","Uruguayan","Spanish"
"VEN","Venezuela","Venezuelan","Spanish"
"VNM","Vietnam","Vietnamese","Vietnamese"
NA,"Wales","Welsh","Welsh; English"
"ZMB","Zambia","Zambian","English"
"ZWE","Zimbabwe","Zimbabwean","16 languages"
